100000000 	09 	1
100000002 	04 	2
100000003 	05 	3
100000005 	01 	1
100000007 	03 	1
100000008 	20 	6
100000008 	16 	6
100000011 	03 	2
100000014 	04 	3
100000016 	23 	12
100000017 	05 	1
100000018 	19 	1
100000018 	03 	1
100000018 	16 	1
100000018 	02 	1
100000018 	11 	1
100000019 	05 	2
100000022 	17 	1
100000023 	03 	1
100000025 	03 	1
100000028 	04 	1
100000030 	14 	2
100000031 	03 	2
100000032 	19 	1
100000032 	04 	1
100000036 	04 	1
100000039 	04 	2
100000044 	05 	1
100000045 	04 	1
100000046 	04 	2
100000046 	05 	2
100000048 	04 	5
100000049 	14 	1
100000050 	04 	1
100000051 	23 	5
100000052 	12 	1
100000053 	06 	1
100000054 	03 	3
100000054 	20 	3
100000054 	18 	3
100000055 	18 	1
100000055 	06 	1
100000055 	04 	1
100000055 	17 	1
100000056 	12 	1
100000056 	14 	1
100000056 	16 	1
100000057 	08 	5
100000058 	04 	3
100000058 	17 	3
100000059 	06 	3
100000059 	17 	3
100000060 	04 	1
100000061 	04 	3
100000062 	18 	7
100000063 	11 	1
100000064 	04 	2
100000064 	05 	2
100000065 	00 	1
100000065 	04 	1
100000065 	23 	1
100000066 	05 	2
100000067 	11 	1
100000067 	04 	1
100000068 	19 	2
100000068 	18 	2
100000069 	16 	2
100000070 	16 	1
100000071 	04 	2
100000072 	05 	3
100000073 	20 	1
100000074 	00 	5
100000075 	05 	10
100000076 	17 	1
100000076 	04 	1
100000077 	04 	4
100000077 	16 	4
100000078 	23 	3
100000079 	04 	5
100000080 	06 	1
100000081 	18 	3
100000081 	17 	3
100000081 	05 	3
100000082 	04 	1
100000082 	05 	1
100000083 	15 	1
100000083 	17 	1
100000084 	20 	1
100000084 	17 	1
100000085 	03 	1
100000085 	23 	1
100000085 	05 	1
100000086 	18 	2
100000086 	22 	2
100000087 	05 	3
100000088 	03 	1
100000088 	13 	1
100000088 	01 	1
100000088 	17 	1
100000088 	00 	1
100000088 	12 	1
100000089 	21 	2
100000090 	03 	5
100000091 	04 	6
100000092 	08 	6
100000093 	06 	10
100000094 	03 	9
100000097 	05 	1
100000098 	16 	1
100000101 	18 	1
100000109 	06 	1
100000111 	03 	1
100000114 	05 	3
100000120 	03 	1
100000120 	15 	1
100000120 	17 	1
100000120 	16 	1
100000122 	06 	1
100000123 	06 	1
100000126 	06 	1
100000129 	19 	6
100000129 	15 	6
100000129 	17 	6
100000131 	06 	1
100000133 	12 	1
100000133 	06 	1
100000134 	01 	2
100000136 	12 	1
100000137 	06 	1
100000137 	20 	1
100000138 	10 	1
100000138 	09 	1
100000140 	15 	2
100000140 	16 	2
100000141 	18 	3
100000142 	04 	1
100000143 	04 	4
100000144 	16 	3
100000145 	18 	2
100000146 	17 	1
100000147 	03 	1
100000147 	17 	1
100000147 	05 	1
100000149 	06 	3
100000150 	01 	1
100000151 	03 	2
100000152 	17 	2
100000153 	04 	1
100000154 	04 	3
100000155 	06 	2
100000156 	00 	1
100000156 	05 	1
100000157 	20 	6
100000159 	19 	1
100000159 	11 	1
100000159 	01 	1
100000159 	22 	1
100000160 	05 	8
100000162 	20 	5
100000163 	08 	1
100000165 	02 	3
100000165 	21 	3
100000166 	05 	1
100000167 	19 	1
100000170 	01 	2
100000171 	06 	3
100000173 	00 	2
100000173 	22 	2
100000173 	04 	2
100000174 	04 	1
100000174 	16 	1
100000175 	05 	1
100000176 	09 	3
100000176 	23 	3
100000177 	07 	1
100000177 	04 	1
100000178 	18 	6
100000179 	13 	1
100000180 	12 	1
100000180 	06 	1
100000186 	06 	1
100000186 	04 	1
100000187 	09 	6
100000187 	17 	6
100000189 	10 	1
100000189 	08 	1
100000190 	11 	1
100000190 	10 	1
100000190 	08 	1
100000190 	12 	1
100000191 	18 	1
100000191 	13 	1
100000192 	23 	2
100000193 	04 	4
100000194 	17 	10
100000195 	11 	2
100000195 	10 	2
100000197 	14 	4
100000198 	05 	5
100000203 	21 	3
100000204 	12 	1
100000204 	16 	1
100000206 	21 	3
100000207 	21 	4
100000209 	22 	1
100000213 	16 	5
100000216 	12 	1
100000218 	16 	1
100000220 	00 	1
100000221 	08 	1
100000222 	14 	1
100000225 	06 	2
100000226 	19 	1
100000228 	12 	1
100000231 	14 	1
100000232 	15 	1
100000232 	14 	1
100000236 	13 	2
100000236 	12 	2
100000238 	00 	1
100000238 	04 	1
100000239 	02 	1
100000239 	06 	1
100000239 	21 	1
100000239 	05 	1
100000240 	14 	1
100000240 	16 	1
100000241 	10 	3
100000241 	15 	3
100000242 	00 	7
100000242 	14 	7
100000244 	11 	1
100000244 	12 	1
100000244 	16 	1
100000245 	10 	2
100000246 	10 	1
100000247 	12 	2
100000248 	11 	4
100000249 	03 	6
100000250 	02 	10
100000251 	02 	11
100000252 	19 	6
100000253 	10 	2
100000254 	16 	4
100000255 	13 	2
100000257 	22 	6
100000258 	01 	6
100000259 	07 	4
100000262 	22 	2
100000264 	12 	6
100000265 	15 	3
100000266 	19 	2
100000266 	21 	2
100000267 	14 	2
100000268 	03 	4
100000269 	16 	1
100000271 	06 	13
100000272 	11 	3
100000273 	10 	1
100000273 	12 	1
100000274 	07 	3
100000278 	21 	1
100000280 	08 	1
100000280 	13 	1
100000280 	14 	1
100000283 	12 	3
100000284 	13 	1
100000284 	15 	1
100000285 	18 	4
100000286 	18 	2
100000288 	14 	1
100000291 	20 	1
100000291 	14 	1
100000294 	09 	1
100000295 	09 	7
100000296 	12 	1
100000296 	01 	1
100000299 	15 	2
100000301 	15 	3
100000303 	15 	2
100000304 	01 	1
100000307 	01 	3
100000309 	15 	1
100000310 	14 	2
100000314 	06 	1
100000315 	03 	8
100000319 	15 	1
100000320 	18 	1
100000320 	15 	1
100000322 	14 	1
100000323 	03 	2
100000324 	12 	3
100000325 	10 	2
100000327 	14 	1
100000328 	15 	2
100000329 	12 	1
100000331 	13 	1
100000331 	14 	1
100000331 	22 	1
100000331 	08 	1
100000333 	00 	1
100000333 	04 	1
100000333 	22 	1
100000334 	19 	3
100000334 	14 	3
100000335 	01 	6
100000336 	18 	2
100000337 	16 	1
100000338 	13 	3
100000339 	17 	1
100000340 	17 	1
100000340 	22 	1
100000341 	02 	3
100000342 	20 	1
100000343 	22 	6
100000344 	02 	2
100000344 	00 	2
100000345 	14 	2
100000345 	16 	2
100000346 	10 	1
100000347 	07 	1
100000348 	16 	1
100000349 	19 	2
100000349 	13 	2
100000349 	12 	2
100000350 	18 	1
100000350 	21 	1
100000350 	22 	1
100000351 	19 	3
100000351 	20 	3
100000351 	21 	3
100000353 	13 	2
100000353 	23 	2
100000354 	11 	2
100000354 	23 	2
100000355 	19 	1
100000355 	02 	1
100000355 	00 	1
100000355 	01 	1
100000355 	03 	1
100000356 	02 	1
100000357 	17 	6
100000358 	22 	4
100000359 	00 	1
